original_row_id,names,wkt_geom,original_type,kept_row_id,reason
1155,Зелёновка|Зеленівка,POINT(30.007099 46.29501),village,1154,settlement_point_duplicate_removed
1157,Зелёное|Зелене,POINT(31.7398598 46.9529837),village,1156,settlement_point_duplicate_removed
1159,Зелёный Гай|Зелений Гай,POINT(32.2448332 46.9421759),village,1158,settlement_point_duplicate_removed
1164,Знаменка|Знам’янка,POINT(32.393532 46.70734),village,1163,settlement_point_duplicate_removed
1166,Зоревка|Зорівка,POINT(32.3784188 46.678331),village,1165,settlement_point_duplicate_removed
1171,Ивановка|Іванівка,POINT(31.6270137 46.90038),village,1169,settlement_point_duplicate_removed
1172,Ивановка|Іванівка,POINT(31.6632393 46.6546629),village,1170,settlement_point_duplicate_removed
1174,Иваново|Іванове,POINT(30.885206 46.674969),village,1728,settlement_point_duplicate_removed
1180,Казацкое|Козацьке,POINT(30.046579 46.348911),village,1179,settlement_point_duplicate_removed
1183,Калабатино|Калабатине,POINT(31.5033131 46.8478747),village,1182,settlement_point_duplicate_removed
1190,Каменка|Кам’янка,POINT(31.673246 46.816319),village,1188,settlement_point_duplicate_removed
1193,Каменка|Кам’янка,POINT(29.6436577 46.1784427),village,1189,settlement_point_duplicate_removed
1201,Карагаш,POINT(29.684114 46.785888),village,1200,settlement_point_duplicate_removed
1203,Карликовка|Карликівка,POINT(31.785971 46.983562),village,1202,settlement_point_duplicate_removed
1205,Карналиевка|Карналіївка,POINT(30.02701 46.219139),village,1204,settlement_point_duplicate_removed
1210,Кизомыс|Кізомис,POINT(32.33757 46.562119),village,1209,settlement_point_duplicate_removed
1216,Клапая,POINT(32.415371 46.717796),village,1215,settlement_point_duplicate_removed
1220,Козырка|Козирка,POINT(31.882154 46.813858),village,1219,settlement_point_duplicate_removed
1223,Константиновка|Костянтинівка,POINT(32.313453 46.9872478),village,1222,settlement_point_duplicate_removed
1228,Копанка|Copanca,POINT(29.6251174 46.7159365),village,1227,settlement_point_duplicate_removed
1232,Коротное|Коротне,POINT(29.8516657 46.6315277),village,1231,settlement_point_duplicate_removed
1236,Котлярёво|Котляреве,POINT(32.2219169 46.885454),village,1235,settlement_point_duplicate_removed
1240,Кошары|Кошари,POINT(31.15498 46.665642),village,1238,settlement_point_duplicate_removed
1242,Красная Коса|Красна Коса,POINT(30.096772 46.333529),village,1241,settlement_point_duplicate_removed
1244,Красное|Красне,POINT(31.403994 46.821362),village,1243,settlement_point_duplicate_removed
1246,Краснополье|Краснопілля,POINT(31.2465759 46.8629926),village,1245,settlement_point_duplicate_removed
1248,Кременчуг|Cremenciug / Кременчуг,POINT(29.673933 46.7053825),village,1247,settlement_point_duplicate_removed
1249,Кремидовка|Кремидівка,POINT(30.7878987 46.738294),village,1250,settlement_point_duplicate_removed
1252,Кривая Балка|Крива Балка,POINT(31.8107943 46.9583216),village,1251,settlement_point_duplicate_removed
1256,Круглоозёрка|Круглоозерка,POINT(32.3939794 46.1321467),village,1255,settlement_point_duplicate_removed
1258,Крутой Яр|Крутий Яр,POINT(32.484695 46.772522),village,1257,settlement_point_duplicate_removed
1261,Крутояровка|Крутоярівка,POINT(29.8166866 46.3584008),village,1260,settlement_point_duplicate_removed
1268,Курисово|Курісове,POINT(30.9616421 46.9701466),village,1267,settlement_point_duplicate_removed
1271,Куцуруб,POINT(31.6211184 46.6529086),village,1270,settlement_point_duplicate_removed
1277,Либенталь|Лібенталь,POINT(30.46612 46.428558),village,1276,settlement_point_duplicate_removed
1282,Лиманы|Лимани,POINT(31.9727448 46.7280711),village,1281,settlement_point_duplicate_removed
1287,Лупарево|Лупареве,POINT(31.9816968 46.6943404),village,1286,settlement_point_duplicate_removed
1289,Луч|Промінь,POINT(32.2220079 46.8279549),village,1288,settlement_point_duplicate_removed
1291,Лучинское|Лучинське,POINT(29.9462432 46.8642535),village,1290,settlement_point_duplicate_removed
1293,Люблино|Люблине,POINT(31.1575593 46.9530842),village,1292,settlement_point_duplicate_removed
1295,Любомировка|Любомирівка,POINT(32.3749924 46.8858659),village,1294,settlement_point_duplicate_removed
1299,Максимовка|Максимівка,POINT(32.4810395 46.9631988),village,1298,settlement_point_duplicate_removed
1301,Малаешты|Малаєшти,POINT(29.5481044 46.9760545),village,1300,settlement_point_duplicate_removed
1303,Малахово|Малахове,POINT(31.3543544 46.9142155),village,1302,settlement_point_duplicate_removed
1307,Маловарваровка|Маловарварівка,POINT(31.701504 46.9415081),village,1306,settlement_point_duplicate_removed
1309,Малое|Мале,POINT(30.4981283 46.7422317),village,1304,settlement_point_duplicate_removed
1312,Маразлиевка|Маразліївка,POINT(30.0520305 46.107672),village,1311,settlement_point_duplicate_removed
1317,Марковка|Марківка,POINT(31.3382857 46.9289792),village,1315,settlement_point_duplicate_removed
1323,Матросовка|Матросівка,POINT(31.7488572 46.7329503),village,1322,settlement_point_duplicate_removed
1326,Меняйловка|Міняйлівка,POINT(29.51717 46.383251),village,1325,settlement_point_duplicate_removed
1336,Мирное|Мирне,POINT(31.6165357 46.9456597),village,1333,settlement_point_duplicate_removed
1337,Мирное|Мирне,POINT(32.3113339 46.8112176),village,1334,settlement_point_duplicate_removed
1338,Мирное|Мирне,POINT(32.248287 46.707973),village,1335,settlement_point_duplicate_removed
1339,Мирное|Мирне,POINT(30.378593 46.467545),village,1332,settlement_point_duplicate_removed
1341,Мирнополье|Мирнопілля,POINT(29.64352 46.15974),village,1340,settlement_point_duplicate_removed
1344,Михайловка|Михайлівка,POINT(31.4297706 46.7615743),village,1343,settlement_point_duplicate_removed
1349,Молдово|Молдове,POINT(29.6530893 46.2140563),village,1348,settlement_point_duplicate_removed
1352,Молодецкое|Молодецьке,POINT(32.296028 46.690521),village,1351,settlement_point_duplicate_removed
1355,Монаши|Монаші,POINT(30.056881 46.162491),village,1354,settlement_point_duplicate_removed
1357,Морское|Морське,POINT(31.266058 46.616802),village,1356,settlement_point_duplicate_removed
1359,Міжлиманське,POINT(30.714853 46.564289),village,1358,settlement_point_duplicate_removed
1362,Надбугское|Надбузьке,POINT(31.8593856 46.9962209),village,1361,settlement_point_duplicate_removed
1364,Надеевка|Надіївка,POINT(32.361851 46.704021),village,1363,settlement_point_duplicate_removed
1367,Надия|Надія,POINT(29.6480364 46.2273147),village,1365,settlement_point_duplicate_removed
1371,Негрово|Негрове,POINT(29.654713 46.201138),village,1370,settlement_point_duplicate_removed
1376,Нечаянное|Нечаяне,POINT(31.5534457 46.9428387),village,1375,settlement_point_duplicate_removed
1383,Николаевское|Миколаївське,POINT(32.1240654 46.9300663),village,1382,settlement_point_duplicate_removed
1387,Новая Долина|Нова Долина,POINT(30.588842 46.398918),village,1386,settlement_point_duplicate_removed
1389,Новая Дофиновка|Нова Дофінівка,POINT(30.9121963 46.582493),village,1388,settlement_point_duplicate_removed
1393,Новая Ивановка|Нова Іванівка,POINT(29.64043 46.18927),village,1392,settlement_point_duplicate_removed
1397,Новая Царичанка|Нова Царичанка,POINT(29.8801159 46.2530803),village,1396,settlement_point_duplicate_removed
1400,Новобогдановка|Новобогданівка,POINT(31.9615503 46.870885),village,1399,settlement_point_duplicate_removed
1405,Новогригоровка|Новогригорівка,POINT(32.3259404 46.8816796),village,1404,settlement_point_duplicate_removed
1409,Новое|Нове,POINT(31.6958313 46.8658705),village,1408,settlement_point_duplicate_removed
1417,Новокрасное|Новокрасне,POINT(29.97311 46.794201),village,1416,settlement_point_duplicate_removed
1419,Новомихайловка|Новомихайлівка,POINT(31.7210272 46.8791432),village,1418,settlement_point_duplicate_removed
1423,Новониколаевка|Новомиколаївка,POINT(32.3579496 46.966568),village,1421,settlement_point_duplicate_removed
1425,Новоподолье|Новоподілля,POINT(31.4825551 46.9728388),village,1424,settlement_point_duplicate_removed
1427,Новорусское|Новоруське,POINT(32.2588149 46.9081614),village,1426,settlement_point_duplicate_removed
1429,Новосавицкая|Новосавицька,POINT(29.8652203 46.8045781),village,1428,settlement_point_duplicate_removed
1435,Новосёловка|Новоселівка,POINT(32.3975832 46.9999771),village,1434,settlement_point_duplicate_removed
1443,Новофёдоровка|Новофедорівка,POINT(32.32178 46.17348),village,1441,settlement_point_duplicate_removed
1453,Оленовка|Оленівка,POINT(32.3052715 46.9372953),village,1452,settlement_point_duplicate_removed
1455,Олэнешть|Olănești|Оленешть,POINT(29.9203301 46.4965461),village,1454,settlement_point_duplicate_removed
1458,Осетровка|Осетрівка,POINT(31.5324322 46.69669),village,1457,settlement_point_duplicate_removed
1460,Островка|Острівка,POINT(31.7115618 46.7188303),village,1459,settlement_point_duplicate_removed
1472,Парышево|Паришеве,POINT(32.268902 46.712151),village,1471,settlement_point_duplicate_removed
1478,Петровка|Петрівка,POINT(31.7585749 46.9992517),village,1477,settlement_point_duplicate_removed
1480,Петровка|Петрівка,POINT(29.950451 46.31424),village,1476,settlement_point_duplicate_removed
1482,Петрово|Петрове,POINT(30.3696909 46.5862606),village,1481,settlement_point_duplicate_removed
1485,Петропавловка|Петропавлівка,POINT(29.5682848 46.3414907),village,1484,settlement_point_duplicate_removed
1488,Пивденное|Південне,POINT(30.1448321 46.2694381),village,1487,settlement_point_duplicate_removed
1490,Плахтиевка|Плахтіївка,POINT(29.715511 46.094894),village,1489,settlement_point_duplicate_removed
1494,Подгорное|Підгірне,POINT(30.02426 46.260681),village,1493,settlement_point_duplicate_removed
1496,Подымово|Подимове,POINT(31.7954363 46.9520598),village,1495,settlement_point_duplicate_removed
1500,Покровское|Покровське,POINT(31.62792 46.537739),village,1499,settlement_point_duplicate_removed
1502,Полевое|Польове,POINT(30.2226492 46.1260861),village,1501,settlement_point_duplicate_removed
1506,Попельное|Попільне,POINT(31.3726865 46.8993921),village,1505,settlement_point_duplicate_removed
1513,Прибрежное|Прибережне,POINT(30.3948994 46.0844616),village,1512,settlement_point_duplicate_removed
1516,Прибугское|Прибузьке,POINT(32.0950868 46.7793421),village,1515,settlement_point_duplicate_removed
1517,Прибугское|Прибузьке,POINT(31.8828822 46.7395672),village,1514,settlement_point_duplicate_removed
1519,Прилиманское|Прилиманське,POINT(30.610994 46.431309),village,1520,settlement_point_duplicate_removed
1522,Приморское|Приморське,POINT(32.4076743 46.0985888),village,1521,settlement_point_duplicate_removed
1530,Протопоповка|Протопопівка,POINT(30.66181 46.605381),village,1531,settlement_point_duplicate_removed
1537,Радостный Сад|Радісний Сад,POINT(31.9863616 46.8991228),village,1536,settlement_point_duplicate_removed
1539,Разлив|Розлив,POINT(32.377392 46.62323),village,1538,settlement_point_duplicate_removed
1544,Ровное|Рівне,POINT(31.57711 46.765709),village,1543,settlement_point_duplicate_removed
1546,Розаловка|Розалівка,POINT(29.975725 46.833393),village,1545,settlement_point_duplicate_removed
1552,Ромашково|Ромашкове,POINT(32.4345363 46.5991675),village,1551,settlement_point_duplicate_removed
1556,Русскоивановка|Руськоіванівка,POINT(29.7652079 46.3715649),village,1555,settlement_point_duplicate_removed
1566,Светлое|Світле,POINT(30.827225 46.637043),village,1568,settlement_point_duplicate_removed
1573,Семёновка|Семенівка,POINT(30.1213803 46.2809884),village,1571,settlement_point_duplicate_removed
1580,Словяносербка|Слов’яносербка,POINT(29.6978043 46.9588739),village,1579,settlement_point_duplicate_removed
1583,Солнечное|Сонячне,POINT(31.6034641 46.80665),village,1582,settlement_point_duplicate_removed
1586,Солончаки,POINT(31.8180759 46.644347),village,1585,settlement_point_duplicate_removed
1589,Софиевка|Софіївка,POINT(32.255901 46.5956),village,1588,settlement_point_duplicate_removed
1590,Софиевка|Софіївка,POINT(30.293085 46.050003),village,1587,settlement_point_duplicate_removed
1596,Старая Богдановка|Стара Богданівка,POINT(31.9102175 46.8453665),village,1595,settlement_point_duplicate_removed
1598,Старая Царичанка|Стара Царичанка,POINT(29.86599 46.29192),village,1593,settlement_point_duplicate_removed
1606,Степовая Долина|Степова Долина,POINT(32.1795032 46.7787617),village,1605,settlement_point_duplicate_removed
1613,Суходол|Суходіл,POINT(31.57951 46.849819),village,1612,settlement_point_duplicate_removed
1615,Сухой Лиман|Сухий Лиман,POINT(30.636372 46.396969),village,1611,settlement_point_duplicate_removed
1619,Сычавка|Сичавка,POINT(31.1056274 46.6385077),village,1575,settlement_point_duplicate_removed
1621,Таврийское|Таврійське,POINT(32.10239 46.72451),village,1620,settlement_point_duplicate_removed
1628,Терновые Поды|Тернові Поди,POINT(32.3891117 46.8599533),village,1627,settlement_point_duplicate_removed
1631,Троицкое|Троїцьке,POINT(30.00984 46.546322),village,1630,settlement_point_duplicate_removed
1636,Тузлы|Тузли,POINT(31.3752649 46.7002365),village,1635,settlement_point_duplicate_removed
1641,Украинка|Українка,POINT(32.1418371 46.8245274),village,1639,settlement_point_duplicate_removed
1642,Украинка|Українка,POINT(31.1881432 46.7320897),village,1640,settlement_point_duplicate_removed
1650,Фараоновка|Фараонівка,POINT(29.6163098 46.3307486),village,1649,settlement_point_duplicate_removed
1655,Фёдоровка|Федорівка,POINT(31.3152308 46.7497665),village,1654,settlement_point_duplicate_removed
1657,Хлебодарское|Хлібодарське,POINT(30.591114 46.4828),village,1656,settlement_point_duplicate_removed
1659,Холодная Балка|Холодна Балка,POINT(30.5817602 46.6006398),village,1658,settlement_point_duplicate_removed
1661,Хоминка,POINT(30.4409923 46.7127162),village,1660,settlement_point_duplicate_removed
1665,Центральное|Центральне,POINT(32.4702618 46.9059831),village,1664,settlement_point_duplicate_removed
1670,Червоное Парутино|Червоне Парутине,POINT(31.8258169 46.7383958),village,1669,settlement_point_duplicate_removed
1672,Черешенки|Черешеньки,POINT(32.401081 46.678162),village,1673,settlement_point_duplicate_removed
1675,Черкесы|Черкеси,POINT(30.21034 46.077351),village,1674,settlement_point_duplicate_removed
1677,Черноморка|Чорноморка,POINT(31.506041 46.649658),village,1676,settlement_point_duplicate_removed
1681,Чистоводное|Чистоводне,POINT(29.757227 46.440643),village,1680,settlement_point_duplicate_removed
1682,Чобручи|Чобручі,POINT(29.7554817 46.6802239),village,876,settlement_point_duplicate_removed
1684,Чулаковка|Чулаківка,POINT(32.358509 46.361961),village,1685,settlement_point_duplicate_removed
1687,Чумаки,POINT(31.7718728 46.8763176),village,1686,settlement_point_duplicate_removed
1692,Шевченко,POINT(31.7068739 46.8083721),village,1691,settlement_point_duplicate_removed
1695,Шевченково|Шевченкове,POINT(32.2140895 46.9071816),village,1693,settlement_point_duplicate_removed
1702,Широкая Балка|Широка Балка,POINT(30.35076 46.531437),village,1700,settlement_point_duplicate_removed
1706,Широкое|Широке,POINT(30.0888669 45.9690593),village,1703,settlement_point_duplicate_removed
1708,Шмидтово|Шмідтове,POINT(32.4625697 46.8747065),village,1707,settlement_point_duplicate_removed
1711,Шурино|Шурине,POINT(31.8307158 46.8886782),village,1710,settlement_point_duplicate_removed
1718,Яковлевка|Яковлівка,POINT(29.961781 46.862179),village,1717,settlement_point_duplicate_removed
1720,Янтарное|Янтарне,POINT(32.44125 46.576191),village,1719,settlement_point_duplicate_removed
1722,Ярославка,POINT(29.8725331 46.0762065),village,1721,settlement_point_duplicate_removed
1724,Яселка,POINT(31.6969464 46.6442156),village,1723,settlement_point_duplicate_removed
1726,Яськи,POINT(30.07576 46.517139),village,1725,settlement_point_duplicate_removed
