names,wkt_geom
Дачное,"POLYGON((30.56852 46.56427, 30.56311 46.57009, 30.55534 46.57621, 30.55738 46.57728, 30.56518 46.5827, 30.55949 46.58701, 30.55771 46.58695, 30.55758 46.59126, 30.55744 46.59422, 30.55833 46.59978, 30.55914 46.60211, 30.55714 46.60519, 30.55116 46.60299, 30.54768 46.60231, 30.54497 46.60235, 30.54433 46.60066, 30.54182 46.59707, 30.53902 46.59536, 30.53716 46.59268, 30.53972 46.59, 30.53548 46.58967, 30.52786 46.5885, 30.53613 46.5867, 30.53992 46.58474, 30.53053 46.58681, 30.53022 46.58089, 30.53425 46.57477, 30.53893 46.57167, 30.54275 46.57406, 30.54637 46.57271, 30.54458 46.56997, 30.54417 46.56901, 30.54312 46.56632, 30.54077 46.56268, 30.54351 46.56023, 30.5447 46.55701, 30.54549 46.55406, 30.54485 46.55121, 30.54746 46.5513, 30.54712 46.55925, 30.54884 46.56132, 30.55377 46.56489, 30.5583 46.56355, 30.56143 46.56458, 30.56593 46.56387, 30.56852 46.56427))"
Дворец Спорта,"POLYGON((30.7592196 46.4462072, 30.7590201 46.4462178, 30.7592841 46.4457273, 30.7608314 46.4459951, 30.7606412 46.4464902, 30.7591859 46.4463017, 30.7592196 46.4462072))"
Дворянская,"POLYGON((30.7254948 46.4838292, 30.7255699 46.4838758, 30.7254761 46.4838435, 30.7254948 46.4838292))"
Деволановская,"POLYGON((30.7474792 46.4852293, 30.7496059 46.4854026, 30.7551414 46.4833175, 30.7474792 46.4852293))"
Деволановский спуск,"POLYGON((30.7457787 46.477731, 30.7454112 46.4792259, 30.7467118 46.4844858, 30.7457787 46.477731))"
Дегтярная,"POLYGON((30.7223878 46.4812855, 30.723315 46.4797801, 30.7264383 46.4770661, 30.7223878 46.4812855))"
Дельфин,"POLYGON((30.768769 46.4540122, 30.7687149 46.45539, 30.7685163 46.4554022, 30.7686921 46.4563552, 30.768667 46.4565478, 30.7684435 46.4565415, 30.7684639 46.455986, 30.7681866 46.4558788, 30.768323 46.4555191, 30.768266 46.4548738, 30.7681202 46.4547403, 30.7685379 46.4539949, 30.768769 46.4540122, 30.7684285 46.4539737, 30.7683407 46.4535502, 30.7681959 46.4535534, 30.7682221 46.4523424, 30.7683145 46.4520431, 30.7687489 46.4518054, 30.7686287 46.4523138, 30.768769 46.4540122))"
Дельфинарий Немо|Немо,"POLYGON((30.764985 46.4772159, 30.7650761 46.4768879, 30.7654053 46.4769024, 30.7653826 46.4771711, 30.764985 46.4772159))"
Демченко,"POLYGON((30.7212961 46.3750156, 30.7176568 46.3734841, 30.7150626 46.3726836, 30.7212961 46.3750156))"
Дерби,POINT(30.816508 46.570934)
Державина,"LINESTRING(30.774592 46.5625525, 30.7745048 46.5623893)"
Дерибасовская,"LINESTRING(30.7450355 46.4836383, 30.7326414 46.4845323)"
Дидрихсона,"LINESTRING(30.7108305 46.4826685, 30.7192474 46.4833492, 30.7199087 46.4837354)"
Дмитриевская,"LINESTRING(30.7263391 46.4179874, 30.7397234 46.4187348, 30.7410485 46.4191314, 30.7421657 46.4196839, 30.7430245 46.4194696)"
Дмитрия Донского,"LINESTRING(30.7430245 46.4194696, 30.7455814 46.4184105, 30.7520295 46.4165478)"
Днепро|Семёна Палия|днепродорога,"LINESTRING(30.788814 46.565938, 30.8077448 46.5924919, 30.8075073 46.5930286)"
Днепровская,"LINESTRING(30.77721 46.5650412, 30.7739762 46.5591817)"
Днестровская,"LINESTRING(30.6649421 46.4658647, 30.6660311 46.4684576)"
Добровольского|Добро,"LINESTRING(30.7719356 46.55734, 30.7731153 46.5598484, 30.7812336 46.5746371, 30.785142 46.5816689, 30.7855088 46.5818373, 30.80259 46.595343)"
Довженко,"LINESTRING(30.75235 46.45471, 30.75915 46.4570529)"
Доковая,"POLYGON((30.7371955 46.4365821, 30.7368422 46.4344832, 30.7390742 46.4331931, 30.7371955 46.4365821))"
Долгая,"LINESTRING(30.733968 46.3992153, 30.7363648 46.3972714, 30.7393943 46.3941373, 30.7413131 46.391803, 30.7420823 46.3901401, 30.7428387 46.3891006, 30.7443432 46.3883411, 30.7460329 46.3862194)"
Долинская,"LINESTRING(30.7298729 46.5349212, 30.724184 46.5319099)"
Дом Руссова,"POLYGON((30.7313971 46.4849537, 30.7321435 46.4847336, 30.7321865 46.4850283, 30.732106 46.4848897, 30.7313971 46.4849537))"
Дом мебели,"POLYGON((30.7046464 46.4432981, 30.7046059 46.4429172, 30.7052978 46.4428823, 30.7053383 46.4432631, 30.7046464 46.4432981))"
Дом офицеров,"POLYGON((30.7510676 46.4635539, 30.7514963 46.4635302, 30.7515344 46.4638579, 30.7508883 46.4638936, 30.7508646 46.4636896, 30.751082 46.4636776, 30.7510676 46.4635539))"
Донецкая,"LINESTRING(30.7780166 46.564845, 30.7759016 46.5609506)"
Донорская,"POLYGON((30.7411583 46.4533755, 30.740528 46.4540693, 30.738575 46.4542277, 30.7411583 46.4533755))"
Дорожная,"LINESTRING(30.6930252 46.5008944, 30.6937073 46.5044884)"
Дофиновка,"POLYGON((30.9142 46.57441, 30.91678 46.57429, 30.91798 46.57571, 30.92351 46.5773, 30.92675 46.57886, 30.92456 46.58283, 30.92148 46.5873, 30.91451 46.58873, 30.90665 46.59195, 30.8996 46.59136, 30.90003 46.58678, 30.90109 46.58154, 30.90362 46.57801, 30.90428 46.57561, 30.90454 46.57412, 30.89977 46.5726, 30.90492 46.57312, 30.91153 46.57389, 30.9142 46.57441))"
Дубовая,"POLYGON((30.6971019 46.4455676, 30.6959759 46.444484, 30.6957468 46.4440326, 30.6955802 46.4435993, 30.6956992 46.4421656, 30.6971019 46.4455676))"
Думская,"POLYGON((30.7433451 46.485734, 30.7433209 46.4860466, 30.7434809 46.4856617, 30.7441513 46.4860882, 30.7436556 46.4862028, 30.7433209 46.4860466, 30.7433451 46.485734))"
Дунайская,"LINESTRING(30.6188262 46.4724559, 30.6190541 46.4695413)"
Дюк,"POLYGON((30.7415629 46.4860929, 30.7413176 46.4861088, 30.7412926 46.485954, 30.7415415 46.4859378, 30.7415629 46.4860929))"
Дюковская,"POLYGON((30.7113067 46.4811, 30.7108305 46.4826685, 30.7103881 46.4847133, 30.7104791 46.4848471, 30.7113067 46.4811))"
Дюковский,"POLYGON((30.7000043 46.4802717, 30.7073512 46.4798356, 30.7080559 46.4839524, 30.707702 46.4843841, 30.7040356 46.4856002, 30.7026204 46.4841656, 30.7027283 46.484115, 30.7020444 46.4831484, 30.7007963 46.4817002, 30.7000043 46.4802717))"
Еврейская,"POLYGON((30.748031 46.477571, 30.7318515 46.4787178, 30.7380491 46.4782722, 30.748031 46.477571))"
Еврейское кладбище,"POLYGON((30.671087 46.4905891, 30.6684774 46.4863655, 30.674349 46.4849026, 30.6766552 46.4885798, 30.676403 46.488879, 30.673633 46.4899768, 30.671087 46.4905891))"
Екатерининская площадь,"POLYGON((30.738759 46.4875016, 30.7392322 46.4870251, 30.7398513 46.487426, 30.7392814 46.4874736, 30.738759 46.4875016))"
Екатерининская|европейская,"LINESTRING(30.7388473 46.4840973, 30.7389789 46.4850767, 30.7364395 46.4678902)"
Елизаветинская|Елисаветинская,"LINESTRING(30.7280243 46.4909557, 30.7329909 46.4870066)"
Епицентр,"POLYGON((30.7963413 46.5758168, 30.7964692 46.5757724, 30.7966327 46.5759943, 30.7965039 46.5760381, 30.7963413 46.5758168))"
Геллера,"LINESTRING(30.7471871 46.4238427, 30.7329024 46.4317961)"
Фесенко,"POLYGON((30.6520786 46.470072, 30.6507076 46.4716523, 30.6491711 46.4727194, 30.6520786 46.470072))"
Ефимова,"LINESTRING(30.7144926 46.4527943, 30.7141399 46.4489215, 30.7102234 46.4449705)"
ЖД вокзал,"POLYGON((30.74146 46.4688987, 30.7415191 46.4687602, 30.7415646 46.4687556, 30.7415016 46.4689052, 30.74146 46.4688987))"
ЖК Манхеттен,"POLYGON((30.7256723 46.4317453, 30.7256285 46.431721, 30.7257556 46.4316741, 30.7256723 46.4317453))"
Жаботинского,"LINESTRING(30.7405537 46.4297721, 30.7314592 46.4219673, 30.7316392 46.42004)"
Жасминная,"LINESTRING(30.7387434 46.4198551, 30.7356735 46.4214964)"
Жванецкого,"POLYGON((30.7285088 46.4938028, 30.7302635 46.4931324, 30.7335904 46.4912722, 30.7351383 46.4910306, 30.7356093 46.490712, 30.7285088 46.4938028))"
Жевахова,"POLYGON((30.7275199 46.5372231, 30.7274541 46.5375203, 30.723417 46.5413641, 30.723226 46.5414033, 30.7228957 46.5419673, 30.7217575 46.5428812, 30.7275199 46.5372231))"
Железнодорожный вокзал,"POLYGON((30.7415166 46.4687279, 30.741497 46.4685212, 30.7415442 46.4685191, 30.7415639 46.4687257, 30.7415166 46.4687279))"
Желябова,"POLYGON((30.6978411 46.4594315, 30.6983414 46.4592368, 30.7050241 46.4592059, 30.6978411 46.4594315))"
Жемчужная,"LINESTRING(30.7063227 46.3806314, 30.7100196 46.381245, 30.7104898 46.3815149, 30.7117511 46.3814961, 30.7123083 46.3819811, 30.7130969 46.3823336, 30.713427 46.3827173, 30.7146729 46.3827699, 30.7155642 46.3831629)"
Житкова,"LINESTRING(30.6663244 46.4749497, 30.6672352 46.47493, 30.6676929 46.4747329, 30.6698864 46.4750941, 30.671594 46.4751873, 30.6729287 46.4739721, 30.6731563 46.4739535)"
Житомирская,"LINESTRING(30.6845777 46.4580847, 30.6831198 46.4591845, 30.6812815 46.4596841, 30.6578033 46.4624141, 30.6532103 46.4624736)"
Жолио Кюри,"LINESTRING(30.77258 46.5663, 30.773542 46.568502, 30.775462 46.575619, 30.777876 46.585264, 30.786529 46.592409, 30.790217 46.595504)"
Жукова|небесной|маршала Жукова,"LINESTRING(30.7076802 46.3968564, 30.7079065 46.3971229, 30.7079611 46.3972676, 30.7081055 46.3977683, 30.7082962 46.3983959, 30.7083789 46.3987033, 30.7092769 46.4006694, 30.7105857 46.4048858, 30.7106171 46.4049935, 30.7129463 46.41224, 30.7143923 46.416896, 30.7146635 46.4178656, 30.7148043 46.4183538, 30.7148791 46.4186559, 30.7150706 46.4192855)"
Жюли Лассан|макаренко,"POLYGON((30.7440355 46.3949363, 30.7444578 46.3941796, 30.7452259 46.3943097, 30.7452122 46.395484, 30.7450581 46.3959127, 30.7440355 46.3949363))"
ЗОНТ,"POLYGON((30.70772 46.3932303, 30.7073492 46.3920177, 30.7083433 46.3918432, 30.7084461 46.3921652, 30.7077529 46.3922692, 30.7079474 46.3928463, 30.7086402 46.3927374, 30.7087478 46.3930741, 30.70772 46.3932303))"
ЗОР|зором|роял пицца,"LINESTRING(30.7262921 46.517771, 30.7264075 46.5181245)"
Заболотного,"LINESTRING(30.7767273 46.5854661, 30.7786933 46.5849504, 30.7847009 46.5825392, 30.7849272 46.582179, 30.7973818 46.5771366)"
Закарпатская,"LINESTRING(30.7108206 46.5512301, 30.7115588 46.5510031, 30.7127847 46.5499569, 30.7136664 46.5496057, 30.7160698 46.5478199, 30.7196305 46.5478373, 30.7216055 46.5488992)"
Залюбки,"POLYGON((30.7430856 46.4009191, 30.7430686 46.4009754, 30.7427643 46.4009317, 30.7427813 46.4008755, 30.7430856 46.4009191))"
Заньковецкой,"LINESTRING(30.7068158 46.4591642, 30.7064874 46.4591889)"
Заньковецької,"LINESTRING(30.7163305 46.4584394, 30.7135131 46.4584816)"
Западное кладбище,"POLYGON((30.6200285 46.4997734, 30.6204631 46.4974414, 30.6222075 46.4976051, 30.623123 46.4931126, 30.6254557 46.4933774, 30.6255545 46.4929312, 30.6266209 46.4930447, 30.6267351 46.492593, 30.6277121 46.4926694, 30.6281822 46.4901442, 30.6294876 46.4902862, 30.6300893 46.4880027, 30.6316803 46.4881444, 30.6316254 46.4892729, 30.6304137 46.4939419, 30.6318154 46.4940894, 30.6311802 46.4960836, 30.6241231 46.5036983, 30.6234219 46.5039315, 30.6125398 46.5027136, 30.6147297 46.4929258, 30.6167202 46.4924759, 30.6173479 46.4925426, 30.6172006 46.493182, 30.618135 46.4932771, 30.6174707 46.4971088, 30.6178807 46.4971476, 30.6174813 46.4992457, 30.6183323 46.4993174, 30.6183525 46.4997163, 30.6198634 46.4998793, 30.6200285 46.4997734))"
Запорожская,"LINESTRING(30.7169598 46.4671292, 30.7209442 46.4639425)"
Заречная,"LINESTRING(30.7610507 46.4176666, 30.7591675 46.418686)"
Заславского,"LINESTRING(30.7294709 46.4763135, 30.7288533 46.4719975)"
Затерянный мир,"POLYGON((30.7395511 46.4097063, 30.7396342 46.4094051, 30.74089 46.4095541, 30.7408134 46.4098577, 30.7395511 46.4097063))"
Затонского|ойстраха,"LINESTRING(30.7823622 46.5889023, 30.793098 46.582092)"
Звонкая,"POLYGON((30.7148698 46.5528721, 30.7150599 46.5516168, 30.7153429 46.5509385, 30.7173389 46.5501887, 30.7188735 46.5501, 30.7193922 46.5502064, 30.720293 46.5506069, 30.7212318 46.551338, 30.7148698 46.5528721))"
Звёздная,"LINESTRING(30.765085 46.5703556, 30.7704196 46.5710134)"
Звёздный|Звездный,"POLYGON((30.7823637 46.5743144, 30.7818273 46.5733556, 30.7847375 46.5725904, 30.7853296 46.5734994, 30.7823637 46.5743144))"
Зелёная Балка,"POLYGON((30.6991099 46.356554, 30.6989303 46.3571852, 30.6990168 46.3580931, 30.6991099 46.356554))"
Зелёная Горка,"LINESTRING(30.6964265 46.3557049, 30.6972128 46.3547932)"
Зерновая,"LINESTRING(30.6187462 46.4676422, 30.6254073 46.4679666)"
Зерновой,"POLYGON((30.7403273 46.5386662, 30.7401465 46.5385089, 30.7403518 46.5386528, 30.7403273 46.5386662))"
Зои Космодемьянской,"POLYGON((30.6960596 46.3496824, 30.6958786 46.3517949, 30.6927866 46.351536, 30.6913992 46.3515892, 30.6960596 46.3496824))"
Золотий берег,"POLYGON((30.747266 46.390151, 30.7481067 46.3894886, 30.7482658 46.3890527, 30.7493506 46.3885322, 30.7502483 46.3884442, 30.7503944 46.3884179, 30.750479 46.3885987, 30.7510961 46.3886091, 30.7518107 46.3885709, 30.7515691 46.3872189, 30.7508195 46.3879795, 30.7510544 46.3879778, 30.7510575 46.3881803, 30.7508227 46.3881821, 30.747266 46.390151))"
Зоопарковая,"POLYGON((30.7499745 46.4449228, 30.7442622 46.443337, 30.7437727 46.4437127, 30.7426841 46.4434892, 30.7499745 46.4449228))"
Зоринская,"LINESTRING(30.6990662 46.4800837, 30.6930018 46.4805197)"
Ибица,"POLYGON((30.7664155 46.4281697, 30.7665991 46.4280553, 30.7668116 46.4282172, 30.766628 46.4283316, 30.7664155 46.4281697))"
Ивана Франко,"LINESTRING(30.7410312 46.4334686, 30.7434935 46.4321422)"
Ивановский мост,"POLYGON((30.6892894 46.4601851, 30.6870117 46.4589765, 30.6834797 46.457782, 30.682406 46.4572723, 30.6892894 46.4601851))"
Иверский монастырь,"POLYGON((30.7109624 46.4066303, 30.7109392 46.4065716, 30.7108304 46.4062998, 30.7108721 46.4062925, 30.7109624 46.4066303))"
Игоря Иванова,"LINESTRING(30.6717945 46.4687805, 30.6710649 46.4674327)"
Идеал,"POLYGON((30.6966391 46.4701878, 30.6970756 46.4698556, 30.6987109 46.4708749, 30.6982744 46.4712071, 30.6966391 46.4701878))"
Известковая,"LINESTRING(30.7099658 46.4932273, 30.7109981 46.4946074, 30.7099269 46.4959139, 30.7097853 46.4969668, 30.7099627 46.4972937, 30.7066653 46.5013847, 30.706358 46.5015878, 30.6998781 46.503496, 30.6932452 46.5058553, 30.6923426 46.5064242, 30.6903897 46.5085182, 30.690218 46.5089539, 30.690218 46.5098916, 30.6900554 46.5101685, 30.6897315 46.5102337, 30.6838172 46.5090191, 30.6809377 46.5107403, 30.6795793 46.51125, 30.675365 46.5107135, 30.6743608 46.5108368)"
Ильичевск|Ильич|Черноморск|Чорноморск|Ильичёвск,"POLYGON((30.66313 46.29496, 30.66356 46.2967, 30.66521 46.29949, 30.6664 46.30122, 30.66727 46.30233, 30.66854 46.30384, 30.66993 46.30555, 30.67119 46.30674, 30.67081 46.30734, 30.66833 46.30754, 30.6658 46.30783, 30.66041 46.31084, 30.65178 46.31679, 30.64629 46.32017, 30.64216 46.31939, 30.63991 46.31906, 30.63835 46.3186, 30.63523 46.31757, 30.63409 46.31312, 30.63493 46.30719, 30.63944 46.30866, 30.64174 46.30527, 30.63942 46.3054, 30.63379 46.30496, 30.62652 46.30486, 30.63521 46.30361, 30.63514 46.30144, 30.63641 46.30139, 30.63679 46.30347, 30.63858 46.30333, 30.63882 46.3026, 30.63974 46.30261, 30.63968 46.30164, 30.63835 46.29989, 30.63602 46.29647, 30.631 46.29538, 30.63614 46.29346, 30.64416 46.29373, 30.64467 46.28857, 30.645 46.28808, 30.6455 46.28788, 30.64504 46.28506, 30.6454 46.28313, 30.64806 46.28326, 30.64914 46.28366, 30.65127 46.28315, 30.65259 46.28266, 30.65389 46.28429, 30.65568 46.28595, 30.65745 46.28727, 30.65925 46.28795, 30.66093 46.28803, 30.66199 46.28797, 30.6631 46.28856, 30.66098 46.28874, 30.6611 46.28967, 30.66217 46.29027, 30.66274 46.28961, 30.66371 46.28854, 30.66456 46.28933, 30.66342 46.28965, 30.66287 46.29037, 30.66312 46.29143, 30.66323 46.29205, 30.66359 46.29307, 30.66348 46.2938, 30.66326 46.29479, 30.66313 46.29496))"
Инбер,"LINESTRING(30.7550818 46.4735948, 30.7588651 46.4726398)"
Институт Филатова,"POLYGON((30.7601743 46.4553232, 30.7611193 46.4532316, 30.764069 46.4539704, 30.7641061 46.4550647, 30.7646735 46.4551193, 30.7639134 46.4562912, 30.7621522 46.4558015, 30.7622033 46.4556784, 30.761651 46.4556872, 30.7601743 46.4553232))"
Инто-Сана,"POLYGON((30.7220007 46.4060738, 30.7222817 46.4061092, 30.7222199 46.406342, 30.7219389 46.4063065, 30.7220007 46.4060738))"
Интосана,"POLYGON((30.7247156 46.4319857, 30.7244281 46.432188, 30.7242624 46.4319752, 30.7241339 46.4320657, 30.723726 46.4317904, 30.7239141 46.4316581, 30.7243748 46.431969, 30.7245295 46.4318601, 30.7247156 46.4319857))"
Иосифа Тимченко,"POLYGON((30.7402478 46.38745, 30.7405443 46.3872677, 30.7453672 46.3871741, 30.7402478 46.38745))"
Ипподром,"POLYGON((30.738325 46.4450304, 30.7381193 46.4444744, 30.7383403 46.4444355, 30.7385461 46.4449916, 30.738325 46.4450304))"
Испанская,"LINESTRING(30.6899003 46.4782028, 30.6956039 46.4747045)"
Итака,"POLYGON((30.7678411 46.4290803, 30.7675412 46.4288656, 30.76766 46.4285948, 30.7677835 46.4286695, 30.7676902 46.4288543, 30.7678211 46.4289452, 30.7679502 46.4288354, 30.768046 46.428979, 30.7678411 46.4290803))"
Итальянский бульвар,"LINESTRING(30.7382746 46.4685241, 30.740603 46.4683549)"
Июльская,"LINESTRING(30.6510034 46.4674931, 30.6510406 46.4632944)"
Кавказская,"LINESTRING(30.7139702 46.5528544, 30.7144781 46.5507086)"
Казанская,"LINESTRING(30.6208387 46.4687456, 30.6205968 46.4725034)"
Кактус,"POLYGON((30.7142534 46.3875101, 30.7144937 46.3876539, 30.7143512 46.3877672, 30.7141109 46.3876234, 30.7142534 46.3875101))"
Калетон,"POLYGON((30.7694639 46.4516809, 30.7688806 46.4516466, 30.7689115 46.451313, 30.7697456 46.4506839, 30.7702593 46.4505453, 30.7696875 46.4508924, 30.7694639 46.4516809))"
Калиновая,"LINESTRING(30.7569945 46.4298383, 30.7561886 46.4310155)"
Каманина,"LINESTRING(30.7655896 46.4274395, 30.7626206 46.4258718, 30.7603857 46.4237836, 30.7553707 46.4224224, 30.7530222 46.4235135)"
Камышовая,"POLYGON((30.6951235 46.3566721, 30.6953435 46.3565879, 30.6957981 46.3555206, 30.6962561 46.3538592, 30.6951235 46.3566721))"
Канатная,"LINESTRING(30.7441332 46.4545004, 30.7442316 46.4550662, 30.7443566 46.455468, 30.7447305 46.4577296, 30.745122 46.4601077, 30.7453131 46.4612534, 30.7455146 46.4624727, 30.745754 46.463931, 30.7458277 46.4644616, 30.7461169 46.4663222, 30.7464076 46.4678, 30.7465424 46.4683125, 30.7467407 46.4697255, 30.7469536 46.4710809, 30.7471103 46.4720857, 30.7473963 46.4738659, 30.7476168 46.475238, 30.7477624 46.4761446, 30.7480041 46.4776617, 30.7482612 46.4794704, 30.7484131 46.4804704, 30.7485954 46.4817224, 30.7486244 46.4819377)"
Кандинский,"POLYGON((30.7642351 46.4509306, 30.7635382 46.450845, 30.7634417 46.4506677, 30.7635269 46.4505649, 30.7642887 46.4508186, 30.7642351 46.4509306))"
Канцмаркет,"POLYGON((30.7480026 46.4751815, 30.7477084 46.4752027, 30.7476981 46.4751287, 30.7479869 46.4750818, 30.7480026 46.4751815))"
Капитана Кузнецова,"LINESTRING(30.7796711 46.5629318, 30.7831426 46.5692876)"
Карантинная,"LINESTRING(30.7461792 46.4762546, 30.7466545 46.4791367)"
Карантинный спуск,"POLYGON((30.7467118 46.4844858, 30.7466489 46.4845647, 30.7466236 46.4845858, 30.7465939 46.4845989, 30.746556 46.4846081, 30.7464818 46.4846191, 30.7467118 46.4844858))"
Каркашадзе,"POLYGON((30.7529343 46.4661858, 30.7526177 46.4667197, 30.7521752 46.4667437, 30.7518695 46.4664241, 30.7520894 46.4663354, 30.7524622 46.4665442, 30.7527089 46.4661323, 30.7529343 46.4661858))"
Карпатская,"LINESTRING(30.6451121 46.4656913, 30.6451984 46.4629664)"
Картамышевская,"LINESTRING(30.7167355 46.4701543, 30.7085557 46.4707726)"
Карышковского,"POLYGON((30.7190164 46.536794, 30.7206319 46.5377864, 30.723226 46.5414033, 30.7190164 46.536794))"
Качалова,"LINESTRING(30.689221 46.4438423, 30.6945596 46.4439684)"
Качинского,"LINESTRING(30.7450355 46.4836383, 30.7448158 46.4822123)"
Каштановая,"LINESTRING(30.7465278 46.4419822, 30.7462846 46.4413176)"
Керченская,"LINESTRING(30.7821585 46.5636808, 30.774428 46.5597713, 30.7742498 46.5597964, 30.787047 46.572523)"
Кибальчича,"POLYGON((30.7163587 46.4420098, 30.7193018 46.4449837, 30.7192813 46.44512, 30.7163587 46.4420098))"
Кирпичная,"LINESTRING(30.6728111 46.5122982, 30.6712174 46.5118788)"
Китобойная,"LINESTRING(30.7444733 46.4140092, 30.7442706 46.4148818, 30.7431873 46.4147865, 30.7427448 46.4149437, 30.7278109 46.4135865)"
Кишинёвская,"POLYGON((30.7758406 46.564937, 30.775964 46.5651527, 30.7763797 46.5654312, 30.7765058 46.5656709, 30.7758406 46.564937))"
Кладбищенская,"LINESTRING(30.6903216 46.4967732, 30.6955286 46.4962258, 30.6959875 46.4960191, 30.7016912 46.4977446)"
Клеверный,POINT(30.61422 46.51576)
Кленовая,"LINESTRING(30.7464954 46.4410513, 30.7475276 46.4407556)"
Клиновая,"POLYGON((30.6520786 46.470072, 30.6458739 46.4659638, 30.6442623 46.4653873, 30.6520786 46.470072))"
Княжеская,"POLYGON((30.719503 46.493121, 30.7194912 46.4931229, 30.7194384 46.4929733, 30.7194502 46.4929713, 30.719503 46.493121))"
Ковалевского,"LINESTRING(30.7199046 46.3684548, 30.7208878 46.3676164, 30.7267891 46.3704971, 30.7273084 46.3706401, 30.7275736 46.3706246, 30.7294086 46.3717072, 30.7401275 46.3794387, 30.7408221 46.38013, 30.7418233 46.3811586, 30.7451684 46.3848805, 30.7452513 46.3850019, 30.7460329 46.3862194, 30.7460015 46.3902879, 30.7461332 46.3904759)"
Колоническая,"LINESTRING(30.6997398 46.4654062, 30.7001535 46.4679778)"
Колоннада,"POLYGON((30.7383642 46.4907139, 30.7386275 46.4906521, 30.7387074 46.4906833, 30.7385468 46.4907568, 30.7383642 46.4907139))"
Колонтаевская,"LINESTRING(30.7236374 46.4754928, 30.7217235 46.4757357, 30.707031 46.4766183)"
Кольцевая,"POLYGON((30.7470236 46.4200497, 30.744687 46.417352, 30.7455665 46.4153071, 30.7463765 46.4146349, 30.7465104 46.4141875, 30.7470236 46.4200497))"
Комарова,"LINESTRING(30.721183 46.423979, 30.71791 46.4214745, 30.7150706 46.4192855)"
Комитетская,"LINESTRING(30.7138517 46.4682349, 30.71398 46.4680835, 30.7141791 46.4682308, 30.7141985 46.4682617, 30.7150864 46.4689122, 30.7163235 46.4698456, 30.7167355 46.4701543, 30.7177405 46.4709392, 30.7187463 46.4717267, 30.7195295 46.472319, 30.7202061 46.4728512)"
Кондрашина,"LINESTRING(30.7501678 46.4267882, 30.7474153 46.4318889)"
Кондренко,"LINESTRING(30.6927688 46.4530562, 30.6933306 46.4537011)"
Конная,"LINESTRING(30.7295662 46.4918056, 30.7209939 46.4868415)"
Корвин,"POLYGON((30.737343 46.4850089, 30.7373576 46.4851026, 30.7371721 46.4851171, 30.7371533 46.4849845, 30.737343 46.4850089))"
Кордонная,"LINESTRING(30.6980431 46.4508978, 30.6830977 46.4571959)"
Коровицкого,"LINESTRING(30.6898156 46.5022479, 30.6899137 46.5020982, 30.688831 46.5004099, 30.6881189 46.498476, 30.6877593 46.4940165, 30.6862123 46.4896849)"
Косвенная,"LINESTRING(30.7126443 46.4682115, 30.7124201 46.4686857, 30.7121005 46.4704787, 30.7119212 46.4714526, 30.7117486 46.4723893, 30.7117379 46.4724532, 30.7115155 46.4737835, 30.7113454 46.4748414, 30.7116941 46.4762731, 30.7119536 46.4776514, 30.7113239 46.4776539, 30.7113146 46.4794852, 30.7113292 46.4796634, 30.7114714 46.4796663, 30.7116366 46.4809994, 30.7116414 46.4811035)"
Космонавтов,"LINESTRING(30.7251053 46.4377333, 30.7054367 46.4243192, 30.7050349 46.4242154)"
Косовская,"LINESTRING(30.7215212 46.4542481, 30.7274957 46.4542703)"
Костанди,"LINESTRING(30.713551 46.4033234, 30.7191354 46.4040295, 30.7210603 46.4050587, 30.7217486 46.4051378, 30.7226773 46.4045224, 30.7557022 46.4086495)"
Кострова,"LINESTRING(30.6838407 46.4455835, 30.6867906 46.4457845)"
Котляревского,"LINESTRING(30.6733507 46.4942543, 30.6790083 46.497362)"
Крайняя,"LINESTRING(30.6444064 46.4629511, 30.6438747 46.4696446, 30.6436671 46.4752617)"
Красивая,"POLYGON((30.6986596 46.3478305, 30.6987061 46.3484151, 30.6990413 46.3484425, 30.6986596 46.3478305))"
Красная,"POLYGON((30.7632442 46.5538353, 30.761347 46.5565185, 30.7609289 46.5568185, 30.7632442 46.5538353))"
Краснова,"LINESTRING(30.7286898 46.4301975, 30.7293808 46.4304278, 30.733269 46.4493207, 30.7348932 46.4505884, 30.7362742 46.4509705, 30.7378807 46.4517413)"
Красноселка,POINT(30.77614 46.623569)
Краснослободская,"LINESTRING(30.6950253 46.490636, 30.7045902 46.4936001, 30.7072291 46.4938042, 30.7110467 46.4930786)"
Краян,"POLYGON((30.6616948 46.4333973, 30.663728 46.433403, 30.6638074 46.4359197, 30.6622786 46.4359123, 30.6623537 46.4337163, 30.6614149 46.4337496, 30.6614095 46.4334168, 30.6616948 46.4333973))"
Кренкеля,"POLYGON((30.7618311 46.451521, 30.7646279 46.452045, 30.7638438 46.453902, 30.7618311 46.451521))"
Кривобалковская,"LINESTRING(30.6956158 46.4908182, 30.6986019 46.4862004)"
Кривобалковское кладбище,"POLYGON((30.6908268 46.4996649, 30.6912019 46.5011, 30.6894863 46.5013247, 30.6887458 46.4998653, 30.6908268 46.4996649))"
Крушельницкого,"LINESTRING(30.6801967 46.4923978, 30.6751908 46.4952159)"
Крыжановка|5ая крыжановка,POINT(30.78901 46.56594)
Крыжановский рынок,"POLYGON((30.7895444 46.5665488, 30.7891022 46.5659528, 30.7899229 46.5656883, 30.789662 46.5664915, 30.7895444 46.5665488))"
