row_id,names,original_type,new_type,geometry_type,issue
1203,Карликовка|Карликівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1205,Карналиевка|Карналіївка,village,REMOVED,POINT,settlement_point_duplicate_removed
1210,Кизомыс|Кізомис,village,REMOVED,POINT,settlement_point_duplicate_removed
1216,Клапая,village,REMOVED,POINT,settlement_point_duplicate_removed
1220,Козырка|Козирка,village,REMOVED,POINT,settlement_point_duplicate_removed
1223,Константиновка|Костянтинівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1228,Копанка|Copanca,village,REMOVED,POINT,settlement_point_duplicate_removed
1232,Коротное|Коротне,village,REMOVED,POINT,settlement_point_duplicate_removed
1236,Котлярёво|Котляреве,village,REMOVED,POINT,settlement_point_duplicate_removed
1240,Кошары|Кошари,village,REMOVED,POINT,settlement_point_duplicate_removed
1242,Красная Коса|Красна Коса,village,REMOVED,POINT,settlement_point_duplicate_removed
1244,Красное|Красне,village,REMOVED,POINT,settlement_point_duplicate_removed
1246,Краснополье|Краснопілля,village,REMOVED,POINT,settlement_point_duplicate_removed
1248,Кременчуг|Cremenciug / Кременчуг,village,REMOVED,POINT,settlement_point_duplicate_removed
1249,Кремидовка|Кремидівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1252,Кривая Балка|Крива Балка,village,REMOVED,POINT,settlement_point_duplicate_removed
1256,Круглоозёрка|Круглоозерка,village,REMOVED,POINT,settlement_point_duplicate_removed
1258,Крутой Яр|Крутий Яр,village,REMOVED,POINT,settlement_point_duplicate_removed
1261,Крутояровка|Крутоярівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1268,Курисово|Курісове,village,REMOVED,POINT,settlement_point_duplicate_removed
1271,Куцуруб,village,REMOVED,POINT,settlement_point_duplicate_removed
1277,Либенталь|Лібенталь,village,REMOVED,POINT,settlement_point_duplicate_removed
1282,Лиманы|Лимани,village,REMOVED,POINT,settlement_point_duplicate_removed
1287,Лупарево|Лупареве,village,REMOVED,POINT,settlement_point_duplicate_removed
1289,Луч|Промінь,village,REMOVED,POINT,settlement_point_duplicate_removed
1291,Лучинское|Лучинське,village,REMOVED,POINT,settlement_point_duplicate_removed
1293,Люблино|Люблине,village,REMOVED,POINT,settlement_point_duplicate_removed
1295,Любомировка|Любомирівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1299,Максимовка|Максимівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1301,Малаешты|Малаєшти,village,REMOVED,POINT,settlement_point_duplicate_removed
1303,Малахово|Малахове,village,REMOVED,POINT,settlement_point_duplicate_removed
1307,Маловарваровка|Маловарварівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1309,Малое|Мале,village,REMOVED,POINT,settlement_point_duplicate_removed
1312,Маразлиевка|Маразліївка,village,REMOVED,POINT,settlement_point_duplicate_removed
1317,Марковка|Марківка,village,REMOVED,POINT,settlement_point_duplicate_removed
1323,Матросовка|Матросівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1326,Меняйловка|Міняйлівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1336,Мирное|Мирне,village,REMOVED,POINT,settlement_point_duplicate_removed
1337,Мирное|Мирне,village,REMOVED,POINT,settlement_point_duplicate_removed
1338,Мирное|Мирне,village,REMOVED,POINT,settlement_point_duplicate_removed
1339,Мирное|Мирне,village,REMOVED,POINT,settlement_point_duplicate_removed
1341,Мирнополье|Мирнопілля,village,REMOVED,POINT,settlement_point_duplicate_removed
1344,Михайловка|Михайлівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1349,Молдово|Молдове,village,REMOVED,POINT,settlement_point_duplicate_removed
1352,Молодецкое|Молодецьке,village,REMOVED,POINT,settlement_point_duplicate_removed
1355,Монаши|Монаші,village,REMOVED,POINT,settlement_point_duplicate_removed
1357,Морское|Морське,village,REMOVED,POINT,settlement_point_duplicate_removed
1359,Міжлиманське,village,REMOVED,POINT,settlement_point_duplicate_removed
1362,Надбугское|Надбузьке,village,REMOVED,POINT,settlement_point_duplicate_removed
1364,Надеевка|Надіївка,village,REMOVED,POINT,settlement_point_duplicate_removed
1367,Надия|Надія,village,REMOVED,POINT,settlement_point_duplicate_removed
1371,Негрово|Негрове,village,REMOVED,POINT,settlement_point_duplicate_removed
1376,Нечаянное|Нечаяне,village,REMOVED,POINT,settlement_point_duplicate_removed
1383,Николаевское|Миколаївське,village,REMOVED,POINT,settlement_point_duplicate_removed
1387,Новая Долина|Нова Долина,village,REMOVED,POINT,settlement_point_duplicate_removed
1389,Новая Дофиновка|Нова Дофінівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1393,Новая Ивановка|Нова Іванівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1397,Новая Царичанка|Нова Царичанка,village,REMOVED,POINT,settlement_point_duplicate_removed
1400,Новобогдановка|Новобогданівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1405,Новогригоровка|Новогригорівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1409,Новое|Нове,village,REMOVED,POINT,settlement_point_duplicate_removed
1417,Новокрасное|Новокрасне,village,REMOVED,POINT,settlement_point_duplicate_removed
1419,Новомихайловка|Новомихайлівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1423,Новониколаевка|Новомиколаївка,village,REMOVED,POINT,settlement_point_duplicate_removed
1425,Новоподолье|Новоподілля,village,REMOVED,POINT,settlement_point_duplicate_removed
1427,Новорусское|Новоруське,village,REMOVED,POINT,settlement_point_duplicate_removed
1429,Новосавицкая|Новосавицька,village,REMOVED,POINT,settlement_point_duplicate_removed
1435,Новосёловка|Новоселівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1443,Новофёдоровка|Новофедорівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1453,Оленовка|Оленівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1455,Олэнешть|Olănești|Оленешть,village,REMOVED,POINT,settlement_point_duplicate_removed
1458,Осетровка|Осетрівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1460,Островка|Острівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1472,Парышево|Паришеве,village,REMOVED,POINT,settlement_point_duplicate_removed
1478,Петровка|Петрівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1480,Петровка|Петрівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1482,Петрово|Петрове,village,REMOVED,POINT,settlement_point_duplicate_removed
1485,Петропавловка|Петропавлівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1488,Пивденное|Південне,village,REMOVED,POINT,settlement_point_duplicate_removed
1490,Плахтиевка|Плахтіївка,village,REMOVED,POINT,settlement_point_duplicate_removed
1494,Подгорное|Підгірне,village,REMOVED,POINT,settlement_point_duplicate_removed
1496,Подымово|Подимове,village,REMOVED,POINT,settlement_point_duplicate_removed
1500,Покровское|Покровське,village,REMOVED,POINT,settlement_point_duplicate_removed
1502,Полевое|Польове,village,REMOVED,POINT,settlement_point_duplicate_removed
1506,Попельное|Попільне,village,REMOVED,POINT,settlement_point_duplicate_removed
1513,Прибрежное|Прибережне,village,REMOVED,POINT,settlement_point_duplicate_removed
1516,Прибугское|Прибузьке,village,REMOVED,POINT,settlement_point_duplicate_removed
1517,Прибугское|Прибузьке,village,REMOVED,POINT,settlement_point_duplicate_removed
1519,Прилиманское|Прилиманське,village,REMOVED,POINT,settlement_point_duplicate_removed
1522,Приморское|Приморське,village,REMOVED,POINT,settlement_point_duplicate_removed
1530,Протопоповка|Протопопівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1537,Радостный Сад|Радісний Сад,village,REMOVED,POINT,settlement_point_duplicate_removed
1539,Разлив|Розлив,village,REMOVED,POINT,settlement_point_duplicate_removed
1544,Ровное|Рівне,village,REMOVED,POINT,settlement_point_duplicate_removed
1546,Розаловка|Розалівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1552,Ромашково|Ромашкове,village,REMOVED,POINT,settlement_point_duplicate_removed
1556,Русскоивановка|Руськоіванівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1566,Светлое|Світле,village,REMOVED,POINT,settlement_point_duplicate_removed
1573,Семёновка|Семенівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1580,Словяносербка|Слов’яносербка,village,REMOVED,POINT,settlement_point_duplicate_removed
1583,Солнечное|Сонячне,village,REMOVED,POINT,settlement_point_duplicate_removed
1586,Солончаки,village,REMOVED,POINT,settlement_point_duplicate_removed
1589,Софиевка|Софіївка,village,REMOVED,POINT,settlement_point_duplicate_removed
1590,Софиевка|Софіївка,village,REMOVED,POINT,settlement_point_duplicate_removed
1596,Старая Богдановка|Стара Богданівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1598,Старая Царичанка|Стара Царичанка,village,REMOVED,POINT,settlement_point_duplicate_removed
1606,Степовая Долина|Степова Долина,village,REMOVED,POINT,settlement_point_duplicate_removed
1613,Суходол|Суходіл,village,REMOVED,POINT,settlement_point_duplicate_removed
1615,Сухой Лиман|Сухий Лиман,village,REMOVED,POINT,settlement_point_duplicate_removed
1619,Сычавка|Сичавка,village,REMOVED,POINT,settlement_point_duplicate_removed
1621,Таврийское|Таврійське,village,REMOVED,POINT,settlement_point_duplicate_removed
1628,Терновые Поды|Тернові Поди,village,REMOVED,POINT,settlement_point_duplicate_removed
1631,Троицкое|Троїцьке,village,REMOVED,POINT,settlement_point_duplicate_removed
1636,Тузлы|Тузли,village,REMOVED,POINT,settlement_point_duplicate_removed
1641,Украинка|Українка,village,REMOVED,POINT,settlement_point_duplicate_removed
1642,Украинка|Українка,village,REMOVED,POINT,settlement_point_duplicate_removed
1650,Фараоновка|Фараонівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1655,Фёдоровка|Федорівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1657,Хлебодарское|Хлібодарське,village,REMOVED,POINT,settlement_point_duplicate_removed
1659,Холодная Балка|Холодна Балка,village,REMOVED,POINT,settlement_point_duplicate_removed
1661,Хоминка,village,REMOVED,POINT,settlement_point_duplicate_removed
1665,Центральное|Центральне,village,REMOVED,POINT,settlement_point_duplicate_removed
1670,Червоное Парутино|Червоне Парутине,village,REMOVED,POINT,settlement_point_duplicate_removed
1672,Черешенки|Черешеньки,village,REMOVED,POINT,settlement_point_duplicate_removed
1675,Черкесы|Черкеси,village,REMOVED,POINT,settlement_point_duplicate_removed
1677,Черноморка|Чорноморка,village,REMOVED,POINT,settlement_point_duplicate_removed
1681,Чистоводное|Чистоводне,village,REMOVED,POINT,settlement_point_duplicate_removed
1682,Чобручи|Чобручі,village,REMOVED,POINT,settlement_point_duplicate_removed
1684,Чулаковка|Чулаківка,village,REMOVED,POINT,settlement_point_duplicate_removed
1687,Чумаки,village,REMOVED,POINT,settlement_point_duplicate_removed
1692,Шевченко,village,REMOVED,POINT,settlement_point_duplicate_removed
1695,Шевченково|Шевченкове,village,REMOVED,POINT,settlement_point_duplicate_removed
1702,Широкая Балка|Широка Балка,village,REMOVED,POINT,settlement_point_duplicate_removed
1706,Широкое|Широке,village,REMOVED,POINT,settlement_point_duplicate_removed
1708,Шмидтово|Шмідтове,village,REMOVED,POINT,settlement_point_duplicate_removed
1711,Шурино|Шурине,village,REMOVED,POINT,settlement_point_duplicate_removed
1718,Яковлевка|Яковлівка,village,REMOVED,POINT,settlement_point_duplicate_removed
1720,Янтарное|Янтарне,village,REMOVED,POINT,settlement_point_duplicate_removed
1722,Ярославка,village,REMOVED,POINT,settlement_point_duplicate_removed
1724,Яселка,village,REMOVED,POINT,settlement_point_duplicate_removed
1726,Яськи,village,REMOVED,POINT,settlement_point_duplicate_removed
27,Автостанция привоз|Автостанция старосенная,station,point,POLYGON,station_non_point_geometry
28,Аэропорт,station,point,LINESTRING,station_non_point_geometry
29,Аэропортовская,station,point,LINESTRING,station_non_point_geometry
30,ТЦ «Аэропортовский»|таврия аэропортовская,station,point,POLYGON,station_non_point_geometry
66,Аллея Славы,street,park,LINESTRING,park_line_geometry
110,Березовка|Березівка,village,settlement,POINT,settlement_point_no_polygon
