names,wkt_geom,type
Александровка|Олександрівка,POINT(30.87364 46.60881),village
Александровка|Олександрівка,POINT(32.020412 46.304314),village
Алексеевка|Олексіївка,POINT(32.2413019 46.2918924),village
Алексеевка|Олексіївка,"POLYGON((30.0734548 46.1143586, 30.0662463 46.1177104, 30.0658727 46.1178227, 30.0653336 46.1178937, 30.0647964 46.117889, 30.0645909 46.1218125, 30.0639013 46.1244945, 30.0636244 46.1283398, 30.059169 46.1284432, 30.0579295 46.1284484, 30.0577213 46.1270808, 30.0574918 46.1263205, 30.0574208 46.1255445, 30.0567377 46.1192877, 30.057278 46.1182666, 30.057217 46.117858, 30.0576191 46.1173015, 30.0587694 46.1164413, 30.0596404 46.1152226, 30.0590212 46.1142483, 30.0589003 46.112616, 30.0596513 46.1105, 30.05992 46.1100599, 30.0611037 46.1101548, 30.0612815 46.1110855, 30.061398 46.1112952, 30.0669626 46.1111493, 30.0742273 46.1132861, 30.0734548 46.1143586))",village
Андреевка|Андріївка,POINT(31.379957 46.879642),village
Андреевка|Андріївка,"POLYGON((30.0744538 46.2103996, 30.0792843 46.2082971, 30.0819611 46.2112372, 30.0829511 46.2118237, 30.0867856 46.2137065, 30.0882425 46.2144214, 30.0892912 46.2149037, 30.0936971 46.2277173, 30.0936467 46.2278345, 30.0924594 46.2280913, 30.0915003 46.2284431, 30.0908772 46.2285232, 30.0902118 46.2284934, 30.0876511 46.229043, 30.0854203 46.2292828, 30.0851557 46.229233, 30.0849787 46.2290969, 30.0839455 46.2263641, 30.0816347 46.2265639, 30.0750518 46.2276723, 30.0739038 46.2246366, 30.0776562 46.2225345, 30.0750727 46.2171096, 30.0739569 46.2173471, 30.071942 46.2146122, 30.0744538 46.2103996))",village
Благодатне|Благодатное,"POLYGON((29.6403973 46.2636673, 29.6401911 46.2633445, 29.6401262 46.2629286, 29.6407508 46.2617797, 29.6388499 46.2616773, 29.6387004 46.2614272, 29.6385942 46.259972, 29.638784 46.2582672, 29.6388083 46.2572105, 29.6389584 46.2563917, 29.6399808 46.2557389, 29.6400505 46.2550701, 29.6394744 46.2549904, 29.6400869 46.2503921, 29.6423703 46.2503376, 29.6428372 46.250325, 29.6461074 46.2505214, 29.6491718 46.2507991, 29.6493562 46.2508656, 29.6497143 46.2513526, 29.6498281 46.2519064, 29.64954 46.2531152, 29.6511412 46.2532937, 29.6513204 46.2536638, 29.6516461 46.254573, 29.6512382 46.2567687, 29.6506343 46.2567222, 29.6505172 46.25747, 29.6507113 46.2585178, 29.6503343 46.2600931, 29.6501649 46.2613839, 29.6500296 46.2620523, 29.6487853 46.2619072, 29.6482277 46.261777, 29.6483646 46.2619503, 29.6484261 46.2624633, 29.6485725 46.2628614, 29.648585 46.2640149, 29.6484831 46.264147, 29.644034 46.2641828, 29.6432992 46.2638372, 29.6403973 46.2636673))",village
Благодатне|Благодатное,"POLYGON((31.6955866 46.766924, 31.6971229 46.7604568, 31.6979564 46.7571869, 31.6981843 46.7570507, 31.6988546 46.7570124, 31.7048197 46.7580922, 31.7072063 46.7585242, 31.708966 46.7586964, 31.7115357 46.7590025, 31.7105301 46.7647237, 31.7100715 46.7649942, 31.7023884 46.7660224, 31.696175 46.7669971, 31.6955866 46.766924))",village
Благодатное|Благодатне,POINT(30.8274849 46.7541669),village
Благодатное|Благодатне,POINT(30.2647158 46.7184223),village
