names,wkt_geom,type
1 Люстдорфской|1-я станция Люстдорфская|1-я Люстдорфская,POINT(30.72617 46.43777),station
1 Фонтана|1-я станция Фонтана|1-я Фонтана,POINT(30.74527 46.46101),station
10 Люстдорфской|10-я станция Люстдорфская|10-я Люстдорфская,POINT(30.72689 46.38552),station
10 Фонтана|10-я станция Фонтана|10-я Фонтана,POINT(30.75376 46.41463),station
11 Фонтана|11-я станция Фонтана|11-я Фонтана,POINT(30.75561 46.41068),station
12 Фонтана|12-я станция Фонтана|12-я Фонтана,POINT(30.75471 46.40507),station
13 Фонтана|13-я станция Фонтана|13-я Фонтана,POINT(30.75339 46.40259),station
14 Фонтана|14-я станция Фонтана|14-я Фонтана,POINT(30.74994 46.39787),station
15 Фонтана|15-я станция Фонтана|15-я Фонтана,POINT(30.74812 46.39503),station
16 Фонтана|16-я станция Фонтана|16-я Фонтана,POINT(30.74724 46.39174),station
2 Люстдорфской|2-я станция Люстдорфская|2-я Люстдорфская,POINT(30.72794 46.43207),station
2 Фонтана|2-я станция Фонтана|2-я Фонтана,POINT(30.74411 46.45444),station
3 Люстдорфской|3-я станция Люстдорфская|3-я Люстдорфская,POINT(30.72382 46.4258),station
3 Фонтана|3-я станция Фонтана|3-я Фонтана,POINT(30.74345 46.44899),station
4 Люстдорфской|4-я станция Люстдорфская|4-я Люстдорфская,POINT(30.72614 46.41778),station
4 Фонтана|4-я станция Фонтана|4-я Фонтана,POINT(30.7428 46.44354),station
5 Люстдорфской|5-я станция Люстдорфская|5-я Люстдорфская,POINT(30.72758 46.41392),station
5 Фонтана|5-я станция Фонтана|5-я Фонтана,POINT(30.74575 46.43785),station
6 Люстдорфской|6-я станция Люстдорфская|6-я Люстдорфская,POINT(30.73062 46.40556),station
6 Фонтана|6-я станция Фонтана|6-я Фонтана,POINT(30.74801 46.43367),station
7 Люстдорфской|7-я станция Люстдорфская|7-я Люстдорфская,POINT(30.73243 46.39988),station
7 Фонтана|7-я станция Фонтана|7-я Фонтана,POINT(30.75129 46.42716),station
8 Люстдорфской|8-я станция Люстдорфская|8-я Люстдорфская,POINT(30.7348 46.39406),station
8 Фонтана|8-я станция Фонтана|8-я Фонтана,POINT(30.75315 46.42319),station
9 Люстдорфской|9-я станция Люстдорфская|9-я Люстдорфская,POINT(30.73141 46.38664),station
9 Фонтана|9-я станция Фонтана|9-я Фонтана,POINT(30.75378 46.42005),station
Автостанция привоз|Автостанция старосенная,"POLYGON((30.7379 46.46671,30.73789 46.46661,30.73846 46.46658,30.73847 46.46668,30.7379 46.46671))",station
Аэропорт,"LINESTRING(30.67326 46.45219,30.67591 46.44435)",station
Аэропортовская,"LINESTRING(30.65926 46.45038,30.65923 46.446,30.6598 46.43937,30.65823 46.4391,30.65806 46.42936,30.65443 46.428,30.6505 46.42854)",station
ТЦ «Аэропортовский»|таврия аэропортовская,"POLYGON((30.68442 46.44792,30.68422 46.44885,30.68376 46.44872,30.68388 46.44788,30.68442 46.44792))",station
автовокзал,"POLYGON((30.70792 46.47652,30.70909 46.47645,30.70916 46.47759,30.70778 46.47751,30.70792 46.47652))",infrastructure
