id,message_id,event_time,description,photo_url,layer,matches,strategy,geom
104,510278,2026-07-20 16:41:33+00,"Белый и серый автобусы. Королёва 114, черна Таврия поехали в сторону Архитекторская, все кто у 86 школы будте осторожны ❕",,bus,"[{""name"": ""королева"", ""geo_id"": 349, ""similarity"": 0.97, ""matched_text"": ""королёва""}, {""name"": ""Архитекторская"", ""geo_id"": 83, ""similarity"": 0.97, ""matched_text"": ""архитекторская""}]",intersection,0101000020E6100000BD169925A6B83E401A9D3DE136314740
128,510270,2026-07-20 16:30:52+00,Петухи в Вог перед Альтаиром поехали на Глинки ❕,,pig,"[{""name"": ""Альтаировский"", ""geo_id"": 67, ""similarity"": 0.97, ""matched_text"": ""альтаиром""}]",single_match,0106000020E61000000200000001030000000100000005000000D771570ADCB93E400CAEB9A3FF35474046578E35C8B93E404F90D8EE1E3647408313D1AFADB93E4015504DEE1C3647409DB58075C1B93E4090ACB2A5FD354740D771570ADCB93E400CAEB9A3FF35474001030000000100000005000000B7A4598FB1B93E40813518343E364740491E3E9FB7B93E40C19F2B5B353647403864A82FF0B93E408255F5F23B364740D09DBBB8E8B93E40027855B142364740B7A4598FB1B93E40813518343E364740
278,510320,2026-07-20 17:25:29+00,Щорса полицаи на джипе с включённой люстра от моста к приавтбанку медленно едут ❕,,cops,"[{""name"": ""щерса"", ""geo_id"": 817, ""similarity"": 0.97, ""matched_text"": ""щорса""}]",single_match,0102000020E61000000200000092AD2EA704B43E4018778368AD384740B459F5B9DAAE3E40C58D5BCCCF394740
95,510280,2026-07-20 16:42:07+00,Поворот на Артилерийской с фонтанской блокпост ❗️ ❗️ ❗️ ❕,,traffic,"[{""name"": ""фонтан"", ""geo_id"": 760, ""similarity"": 0.97, ""matched_text"": ""фонтанской""}]",single_match,0102000020E610000024000000A8AF422509BD3E40369F292AD13947405FAF55270CBD3E40D1C54BDCCF39474089EA52C83ABD3E40D8D2A3A99E394740720976B28ABD3E403C17467A51394740A5901AC9D4BD3E40B2518CE20B3947405CAD1397E3BD3E4019761893FE3847405BC2908B20BE3E408A100D41C4384740D8857A55C2BE3E40038C78FC2838474009AC7713D7BE3E4079F29F2413384740D961A7B3EEBE3E4078503F5EFE374740654FA7E100BF3E4063658FABEC3747406D50A0F42ABF3E40E9465854C4374740CDEC4ED257BF3E40C44C91329837474047904AB1A3BF3E4059164CFC5137474032642B1ECDBF3E408BF3812E2B374740FCFB8C0B07C03E407DD0B359F5364740B45549641FC03E4011983DBFDE3647407E5D3C725AC03E40EB1E3416A8364740013274ECA0C03E40B5F578C66336474090662C9ACEC03E40205734E72A36474054FB1983F3C03E4086F6FB0FFA354740D7EB27AD09C13E402AFAE879DC3547406EA6423C12C13E40A7E4411FD1354740EA865C5FDAC03E408FC93DB89635474010EF94698FC03E405F741EBA45354740645A9BC6F6C03E40C66F0A2B15354740B128363003C13E40173D015EB03447404323337271C13E4045BA9F5390344740E8830AB375C13E406D0377A04E344740A77114C550C13E40FA0B3D62F43347401A47510C35C13E40264921DAD8334740B80ABD59DEC03E40C69D7708883347407ABA04F1CBC03E40B0C0FCBA783347403FF2182F27C03E403C32569BFF3247400502F8020EC03E4054B99A86F232474034A1496249BF3E40112FF42D18324740
97,510281,2026-07-20 16:46:46+00,"Перед сильпо что на Вильямса чекаленка 75 ,перед площадью ,два злых буса серый и белый по дворам катаються ❕",,bus,"[{""name"": ""Вильямса"", ""geo_id"": 150, ""similarity"": 1, ""matched_text"": ""вильямса""}]",single_match,0102000020E61000000700000041BCAE5FB0BB3E406744696FF031474041AE1E413BB93E40345BC3561A324740A6F10BAF24B93E401A6030C912324740A23C98B965B83E4019517F620932474024B149230BB73E4050ACAE9EEE3147400F513BB2A8B63E400F441669E2314740B351E79B7EB43E40D5ACD804BD314740
113,510274,2026-07-20 16:33:41+00,Маршала Жукова 91 через двор в сторону Глушко два белых ❕,,pig,"[{""name"": ""Жукова"", ""geo_id"": 257, ""similarity"": 0.97, ""matched_text"": ""маршала жукова""}, {""name"": ""глушко"", ""geo_id"": 183, ""similarity"": 0.97, ""matched_text"": ""глушко""}]",intersection,0101000020E610000093A4F65A38B53E4027E5D554D4324740
115,510276,2026-07-20 16:34:20+00,"Добрый вечер,2 машини петухов Вильямса 59г/1 библиотек , Королёва 71 и так по кругу ❕",,pig,"[{""name"": ""Вильямса"", ""geo_id"": 150, ""similarity"": 0.97, ""matched_text"": ""вильямса""}, {""name"": ""королева"", ""geo_id"": 349, ""similarity"": 0.97, ""matched_text"": ""королёва""}]",intersection,0101000020E61000000707EA6C3CB93E404073CB421A324740
121,510272,2026-07-20 16:32:36+00,"6я Фонтана, 16е номера 2 белый буса с слуги зеленского в сторону штурвальная- бригадная ❕",,bus,"[{""name"": ""6 Фонтана"", ""geo_id"": 20, ""similarity"": 0.97, ""matched_text"": ""6я фонтана""}, {""name"": ""16 Фонтана"", ""geo_id"": 10, ""similarity"": 0.97, ""matched_text"": ""фонтана 16е""}, {""name"": ""Штурвальная"", ""geo_id"": 815, ""similarity"": 0.97, ""matched_text"": ""штурвальная""}, {""name"": ""Бригадна"", ""geo_id"": 128, ""similarity"": 0.97, ""matched_text"": ""бригадная""}]",midpoint,0101000020E61000001527E60254BE3E40EEFE506806374740
281,510322,2026-07-20 17:26:02+00,"Пр Гагарина, 23 и округа Внимание Тцк щимит под 23м номером типа Опасно!!! ❕",,pig,"[{""name"": ""Гагарина"", ""geo_id"": 168, ""similarity"": 0.97, ""matched_text"": ""гагарина""}]",single_match,0102000020E610000003000000FD378A07EFBC3E40E6ADBA0ED53947406E579EF64ABD3E40864FDFD7ED3947400BDA9A632FC03E40A28AD1297E3A4740
279,510321,2026-07-20 17:25:38+00,Ромашкова /глинки блокпост ❗️ и те и те стоят на сейчас ❕,,traffic,"[{""name"": ""Ромашковая"", ""geo_id"": 629, ""similarity"": 0.97, ""matched_text"": ""ромашкова""}]",single_match,0102000020E61000000400000052465C001ABB3E4096EE096D943647405853591476BB3E4045381C4C79364740C966FD1CD5BD3E40E31CD02DCF3547402F59CB530CBE3E404E4B0746B9354740
277,510319,2026-07-20 17:24:54+00,ЖК 7 НЕБО. Возле КОПЕЙКИ POLICE. Возле продуктового магазина выбирают продукты! Время ❕,,cops,"[{""name"": ""7 небо"", ""geo_id"": 49, ""similarity"": 0.97, ""matched_text"": ""7 небо""}]",single_match,0103000020E6100000010000000E000000A54E401361A33E40D8B628B3413A4740EE42739D46A23E403C4ED1915C3A4740273108AC1CA23E40A73FFB91223A4740D174763238A23E40FD6A0E10CC3947400A68226C78A23E40B64AB0389C3947406E693524EEA13E407D91D09673394740359886E123A23E40F73B1405FA384740890CAB7823A33E40A9C1340C1F39474097E2AAB2EFA23E409A25016A6A394740861BF0F961A43E40E17F2BD9B1394740DA1B7C6132A53E4084640113B8394740CC7A319413A53E401F80D4264E3A4740B1A206D330A43E407C0F971C773A4740A54E401361A33E40D8B628B3413A4740
